system:index,city_id,countryCode,date,downward_shortwave_radiation_flux,precipitable_water_entire_atmosphere,relative_humidity_2m_above_ground,specific_humidity_2m_above_ground,temperature_2m_above_ground,total_cloud_cover_entire_atmosphere,total_precipitation_surface,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,.geo
2017010100F001_000000000000000003cf,392,AND,2017-01-01T00:00:00,107.3913043,2.291304376,63.59130461,0.002243043,-3.910874873,0,0,0.662608684,0.749999983,
2017010100F001_000000000000000000df,810,ARE,2017-01-01T00:00:00,190.4347826,12.7782611,65.62174026,0.011066956,23.18999368,0,0,2.641304296,0.175217399,
2017010100F001_00000000000000000252,12,ARE,2017-01-01T00:00:00,191.3043478,12.66956549,74.16956628,0.013842608,24.22521097,0,0,3.892173829,-1.114782585,
2017010100F001_00000000000000000314,205,ARG,2017-01-01T00:00:00,249.1304348,42.60869632,77.10434922,0.01670913,26.61260111,58.65217391,1.036086961,0.164782592,0.294782587,
2017010100F001_000000000000000000ac,759,AUS,2017-01-01T00:00:00,206.9565217,22.26521774,76.1565225,0.009093913,16.87346934,88.95652174,0.166521742,1.773478228,2.350869505,
2017010100F001_000000000000000000d0,795,AUS,2017-01-01T00:00:00,168.6956522,22.230435,78.92174099,0.009343913,16.65260036,70.08695652,0.183478261,2.402173891,0.785652154,
2017010100F001_00000000000000000113,855,AUS,2017-01-01T00:00:00,176.9565217,46.42608775,66.53043573,0.014763478,27.30303477,51.56521739,1.163043476,-0.919130418,-0.095652164,
2017010100F001_0000000000000000016b,943,AUS,2017-01-01T00:00:00,357.826087,16.056522,57.96521908,0.008644782,20.71999644,0.913043478,0,-1.070869544,7.559565026,
2017010100F001_0000000000000000020d,1105,AUS,2017-01-01T00:00:00,310.8695652,44.1000008,77.57826233,0.01693826,26.83173589,38,0.06,-2.531739041,-4.841739033,
2017010100F001_0000000000000000020f,1107,AUS,2017-01-01T00:00:00,339.1304348,42.27826177,79.12608868,0.018153043,27.56694814,15.26086957,0.176956522,5.899999888,2.188695617,
2017010100F001_00000000000000000210,1108,AUS,2017-01-01T00:00:00,305.2173913,20.56521797,50.20434894,0.008479565,23.24738531,46.65217391,0,4.103912963,2.21304341,
