country,param,health,val,valU,valL,sig
Australia,no2,asthma,0,0,0,sig
Austria,no2,asthma,-28,-34,-22,nonSig
Belgium,no2,asthma,-7,-8,-6,sig
Canada,no2,asthma,0,0,0,sig
Chile,no2,asthma,-151,-181,-119,sig
China,no2,asthma,-44657,-53183,-35650,sig
Croatia,no2,asthma,-40,-48,-32,sig
Denmark,no2,asthma,75,91,59,sig
Finland,no2,asthma,-32,-39,-25,sig
France,no2,asthma,-308,-369,-244,sig
Germany,no2,asthma,-717,-860,-569,sig
Hungary,no2,asthma,-39,-46,-31,sig
India,no2,asthma,-31903,-38067,-25420,sig
Indonesia,no2,asthma,NA,NA,NA,nonSig
Ireland,no2,asthma,-60,-72,-47,sig
Italy,no2,asthma,-785,-939,-624,sig
Luxembourg,no2,asthma,NA,NA,NA,sig
Mexico,no2,asthma,-1,-1,-1,sig
Nepal,no2,asthma,NA,NA,NA,nonSig
Netherlands,no2,asthma,-86,-104,-68,sig
Norway,no2,asthma,-32,-38,-25,sig
Peru,no2,asthma,-138,-166,-109,sig
Poland,no2,asthma,-176,-211,-140,sig
Portugal,no2,asthma,-2,-2,-1,nonSig
Serbia,no2,asthma,-126,-151,-99,sig
Slovakia,no2,asthma,-49,-58,-38,sig
Spain,no2,asthma,-478,-577,-376,sig
Sweden,no2,asthma,-14,-16,-11,sig
Switzerland,no2,asthma,-123,-148,-98,sig
Thailand,no2,asthma,-1,-1,-1,sig
United Arab Emirates,no2,asthma,NA,NA,NA,nonSig
United Kingdom,no2,asthma,-1012,-1213,-803,sig
United States,no2,asthma,-2,-2,-2,sig
Australia,o3,asthma,0,0,0,sig
Austria,o3,asthma,81,108,46,sig
Belgium,o3,asthma,NA,NA,NA,nonSig
Canada,o3,asthma,0,0,0,sig
Chile,o3,asthma,20,28,11,sig
China,o3,asthma,11061,13573,6774,sig
Croatia,o3,asthma,-5,-6,-3,sig
Denmark,o3,asthma,64,86,35,sig
Finland,o3,asthma,-1,-2,-1,nonSig
France,o3,asthma,17,22,10,sig
Germany,o3,asthma,-47,-64,-26,nonSig
Hungary,o3,asthma,0,1,0,nonSig
India,o3,asthma,-283,-392,-153,nonSig
Indonesia,o3,asthma,NA,NA,NA,nonSig
Ireland,o3,asthma,-1,-1,-1,nonSig
Italy,o3,asthma,55,73,31,sig
Luxembourg,o3,asthma,NA,NA,NA,sig
Mexico,o3,asthma,0,1,0,sig
Nepal,o3,asthma,0,0,0,nonSig
Netherlands,o3,asthma,13,18,7,nonSig
Norway,o3,asthma,NA,NA,NA,nonSig
Peru,o3,asthma,154,223,80,sig
Poland,o3,asthma,0,1,0,nonSig
Portugal,o3,asthma,27,36,15,sig
Serbia,o3,asthma,18,25,10,sig
Slovakia,o3,asthma,-1,-1,-1,nonSig
Spain,o3,asthma,68,90,38,nonSig
Sweden,o3,asthma,NA,NA,NA,nonSig
Switzerland,o3,asthma,3,4,2,nonSig
Thailand,o3,asthma,0,0,0,sig
United Arab Emirates,o3,asthma,0,0,0,sig
United Kingdom,o3,asthma,150,200,85,sig
United States,o3,asthma,0,0,0,sig
Australia,pm25,asthma,0,0,0,sig
Austria,pm25,asthma,NA,NA,NA,nonSig
Belgium,pm25,asthma,0,0,0,sig
Canada,pm25,asthma,-7,-9,-2,sig
Chile,pm25,asthma,-35,-46,-12,sig
China,pm25,asthma,-10642,-13521,-3913,sig
Croatia,pm25,asthma,NA,NA,NA,nonSig
Denmark,pm25,asthma,NA,NA,NA,nonSig
Finland,pm25,asthma,-1,-1,0,sig
France,pm25,asthma,-4,-5,-1,nonSig
Germany,pm25,asthma,-56,-74,-19,sig
Hungary,pm25,asthma,NA,NA,NA,nonSig
India,pm25,asthma,-8540,-10719,-3219,sig
Indonesia,pm25,asthma,-57,-72,-21,nonSig
Ireland,pm25,asthma,-2,-2,-1,nonSig
Italy,pm25,asthma,NA,NA,NA,nonSig
Luxembourg,pm25,asthma,NA,NA,NA,nonSig
Mexico,pm25,asthma,-2,-3,-1,nonSig
Nepal,pm25,asthma,-147,-187,-54,sig
Netherlands,pm25,asthma,-4,-5,-1,nonSig
Norway,pm25,asthma,-1,-1,0,sig
Peru,pm25,asthma,-111,-145,-39,sig
Poland,pm25,asthma,-5,-7,-2,nonSig
Portugal,pm25,asthma,0,-1,0,nonSig
Serbia,pm25,asthma,NA,NA,NA,nonSig
Slovakia,pm25,asthma,-2,-2,-1,nonSig
Spain,pm25,asthma,4,5,1,nonSig
Sweden,pm25,asthma,0,0,0,nonSig
Switzerland,pm25,asthma,36,47,13,sig
Thailand,pm25,asthma,NA,NA,NA,nonSig
United Arab Emirates,pm25,asthma,-57,-73,-21,sig
United Kingdom,pm25,asthma,8,11,3,nonSig
United States,pm25,asthma,-104,-137,-35,sig
Australia,no2,death,0,0,0,sig
Austria,no2,death,-1,-2,-1,nonSig
Belgium,no2,death,0,-1,0,sig
Canada,no2,death,0,0,0,sig
Chile,no2,death,-6,-9,-3,sig
China,no2,death,-1954,-2830,-1076,sig
Croatia,no2,death,-5,-7,-3,sig
Denmark,no2,death,5,7,3,sig
Finland,no2,death,-3,-4,-2,sig
France,no2,death,-78,-113,-43,sig
Germany,no2,death,-68,-98,-37,sig
Hungary,no2,death,-5,-7,-3,sig
India,no2,death,-1973,-2858,-1086,sig
Indonesia,no2,death,NA,NA,NA,nonSig
Ireland,no2,death,-3,-4,-1,sig
Italy,no2,death,-115,-166,-63,sig
Luxembourg,no2,death,NA,NA,NA,sig
Mexico,no2,death,0,0,0,sig
Nepal,no2,death,NA,NA,NA,nonSig
Netherlands,no2,death,-8,-12,-5,sig
Norway,no2,death,-3,-4,-2,sig
Peru,no2,death,-5,-8,-3,sig
Poland,no2,death,-18,-26,-10,sig
Portugal,no2,death,0,0,0,nonSig
Serbia,no2,death,-12,-18,-7,sig
Slovakia,no2,death,-4,-5,-2,sig
Spain,no2,death,-24,-35,-13,sig
Sweden,no2,death,-1,-1,0,sig
Switzerland,no2,death,-5,-8,-3,sig
Thailand,no2,death,0,0,0,sig
United Arab Emirates,no2,death,NA,NA,NA,nonSig
United Kingdom,no2,death,-62,-90,-34,sig
United States,no2,death,0,0,0,sig
Australia,o3,death,0,0,0.00E+00,sig
Austria,o3,death,70,122,18,sig
Belgium,o3,death,NA,NA,NA,nonSig
Canada,o3,death,0,0,0,sig
Chile,o3,death,10,17,2,sig
China,o3,death,6755,12016,969,sig
Croatia,o3,death,-9,-15,-2,sig
Denmark,o3,death,66,114,17,sig
Finland,o3,death,-2,-3,0,nonSig
France,o3,death,73,118,23,sig
Germany,o3,death,-64,-103,-21,nonSig
Hungary,o3,death,1,2,0,nonSig
India,o3,death,-134,-233,-34,nonSig
Indonesia,o3,death,NA,NA,NA,nonSig
Ireland,o3,death,-1,-1,0,nonSig
Italy,o3,death,152,287,25,sig
Luxembourg,o3,death,NA,NA,NA,sig
Mexico,o3,death,0,0,0,sig
Nepal,o3,death,0,0,0,nonSig
Netherlands,o3,death,19,32,5,nonSig
Norway,o3,death,NA,NA,NA,nonSig
Peru,o3,death,47,83,12,sig
Poland,o3,death,1,1,0,nonSig
Portugal,o3,death,21,49,-6,sig
Serbia,o3,death,25,43,6,sig
Slovakia,o3,death,-1,-2,0,nonSig
Spain,o3,death,23,73,-31,nonSig
Sweden,o3,death,NA,NA,NA,nonSig
Switzerland,o3,death,3,5,0,nonSig
Thailand,o3,death,0,0,0,sig
United Arab Emirates,o3,death,0,0,0,sig
United Kingdom,o3,death,260,342,178,sig
United States,o3,death,0,0,0,sig
Australia,pm25,death,6,13,-1,sig
Austria,pm25,death,NA,NA,NA,nonSig
Belgium,pm25,death,-2,-5,0,sig
Canada,pm25,death,-77,-101,-53,sig
Chile,pm25,death,-33,-152,84,sig
China,pm25,death,-19665,-23982,-15348,sig
Croatia,pm25,death,NA,NA,NA,nonSig
Denmark,pm25,death,NA,NA,NA,nonSig
Finland,pm25,death,-1,-5,4,sig
France,pm25,death,-95,-210,18,nonSig
Germany,pm25,death,-545,-1206,102,sig
Hungary,pm25,death,NA,NA,NA,nonSig
India,pm25,death,-30525,-67582,5733,sig
Indonesia,pm25,death,-240,-530,45,nonSig
Ireland,pm25,death,-6,-14,1,nonSig
Italy,pm25,death,NA,NA,NA,nonSig
Luxembourg,pm25,death,NA,NA,NA,nonSig
Mexico,pm25,death,-12,-22,-2,nonSig
Nepal,pm25,death,-499,-1106,94,sig
Netherlands,pm25,death,-35,-77,7,nonSig
Norway,pm25,death,-6,-13,1,sig
Peru,pm25,death,-249,-551,47,sig
Poland,pm25,death,-53,-118,10,nonSig
Portugal,pm25,death,0,-4,4,nonSig
Serbia,pm25,death,NA,NA,NA,nonSig
Slovakia,pm25,death,-14,-31,3,nonSig
Spain,pm25,death,42,59,25,nonSig
