country,param,predic,observed,diff,diffUpr,diffLwr,diffRel,diffUprRel,diffLwrRel
Andorra,o3,67.1,62.9,-4.2,-7.2,-1.3,-6.7,-11.5,-2
Andorra,pm25,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,no2,NA,NA,NA,NA,NA,NA,NA,NA
Australia,no2,0,0,0,0,0,30.7,24,37.3
Australia,o3,0,0,0,0.00E+00,0,6.7,0.1,13.2
Australia,pm25,5.7,8.1,2.4,1.2,3.6,29.7,14.6,44.9
Austria,no2,17.8,16.1,-1.7,-9.3,5.9,-10.7,-57.9,36.4
Austria,o3,44.3,74.1,29.8,11.1,48.4,40.2,15,65.4
Austria,pm25,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,no2,27.4,22.9,-4.5,-7.7,-1.2,-19.4,-33.5,-5.4
Belgium,pm25,13.6,9.6,-3.9,-6.4,-1.4,-40.8,-67,-14.7
Belgium,o3,NA,NA,NA,NA,NA,NA,NA,NA
Canada,no2,0,0,0,0,0,-57.6,-83.9,-31.2
Canada,o3,0.1,0.1,0,0,0.00E+00,-5.4,-9.6,-1.3
Canada,pm25,6.6,5.2,-1.4,-2.2,-0.6,-27,-42.1,-12
Chile,no2,18.4,12.7,-5.7,-6.8,-4.5,-44.6,-53.7,-35.4
Chile,o3,28.4,31.6,3.2,1.1,5.2,10,3.6,16.4
Chile,pm25,26.4,19.4,-7,-8.8,-5.2,-36.2,-45.3,-27
China,no2,35.9,25.3,-10.6,-13,-8.1,-41.7,-51.5,-32
China,o3,92.7,108.4,15.7,8,23.5,14.5,7.4,21.6
China,pm25,52.8,37.2,-15.5,-20.3,-10.8,-41.7,-54.4,-29
Croatia,no2,23.8,11.7,-12.1,-14.4,-9.8,-103.2,-122.8,-83.6
Croatia,o3,69.1,61.3,-7.8,-11.6,-4.1,-12.7,-18.9,-6.6
Croatia,pm25,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,no2,5,13.5,8.5,6.5,10.4,62.8,48.2,77.4
Denmark,o3,28.2,71.4,43.2,39,47.4,60.5,54.6,66.4
Denmark,pm25,NA,NA,NA,NA,NA,NA,NA,NA
Finland,no2,15.1,9.3,-5.9,-7.1,-4.6,-63.1,-76.5,-49.8
Finland,o3,66.4,65.1,-1.3,-4,1.4,-1.9,-6.1,2.2
Finland,pm25,5.6,4.8,-0.8,-1.3,-0.2,-15.9,-27.2,-4.6
France,no2,29.6,17.3,-12.3,-14.1,-10.6,-71.4,-81.6,-61.2
France,o3,62.5,66.1,3.6,1.2,6,5.5,1.8,9.2
France,pm25,12.5,11.6,-0.9,-2.1,0.2,-8.1,-17.8,1.6
Germany,no2,26,18,-8,-10.3,-5.7,-44.6,-57.2,-31.9
Germany,o3,54.7,51.7,-3,-6.7,0.6,-5.9,-13,1.2
Germany,pm25,14.8,10.7,-4.1,-5.8,-2.4,-38.6,-54.4,-22.8
Hungary,no2,28.6,24.6,-4,-6.2,-1.7,-16.1,-25.3,-7
Hungary,o3,60.1,60.4,0.3,-2.8,3.3,0.4,-4.6,5.4
Hungary,pm25,NA,NA,NA,NA,NA,NA,NA,NA
India,no2,36.1,20.3,-15.8,-18.4,-13.2,-77.8,-90.5,-65.1
India,o3,37.3,36.9,-0.4,-2.4,1.7,-1,-6.5,4.5
India,pm25,65.3,50,-15.3,-23.6,-7.1,-30.7,-47.2,-14.2
Indonesia,pm25,42.6,41.4,-1.1,-12.6,10.4,-2.7,-30.5,25
Indonesia,no2,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,o3,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,no2,22.7,13.6,-9,-11.7,-6.4,-66.1,-85.5,-46.7
Ireland,o3,62.5,61.3,-1.2,-5.6,3.2,-2,-9.2,5.2
Ireland,pm25,13.2,10.8,-2.4,-6,1.3,-21.9,-55.4,11.6
Italy,no2,31.1,18,-13.1,-14.9,-11.3,-72.8,-82.6,-62.9
Italy,o3,53.6,59.4,5.7,2.7,8.8,9.7,4.5,14.8
Italy,pm25,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,no2,29.2,16.7,-12.5,-14.5,-10.5,-74.8,-86.9,-62.8
