adm0_a3,pop18
ABW,16698.45892238617
AFG,17660745.2976276
AGO,14243949.21998525
AIA,1448.3068761825562
ALB,685063.8715944514
ALD,3691.196485772729
AND,13862.727693080902
ARE,1350808.168427663
ARG,13379929.051653864
ARM,743438.7955016384
ASM,17948.931161880493
ATA,0
ATC,0
ATF,0
ATG,19262.144939631224
AUS,5387995.110159837
AUT,1610488.8049622476
AZE,2879338.2585373633
BDI,5540836.559811294
BEL,2425068.2567899227
BEN,5920333.533085346
BFA,10817446.051461339
BGD,57746785.79401616
BGR,1257738.801362751
BHR,193807.63680648804
BHS,79566.79616717662
BIH,723471.4630494565
BLM,1852.6129837036133
BLR,1897543.1009259392
BLZ,151559.82951414585
BMU,5348.293746948242
BOL,4507291.215051131
BRA,59715591.72084874
BRB,53634.18214702606
BRN,115231.06385457236
BTN,361367.58155799843
BWA,849038.8426025778
CAF,2242024.165995676
CAN,7132382.163506524
CHE,1575792.8262743521
CHL,4557594.478187588
CHN,277419183.75378674
CIV,11482490.828908833
CMR,13576879.506968986
COD,40377628.68380384
COG,1970949.1231007092
COK,2355.541831970215
COL,16479815.079735477
COM,224477.01365566254
CPV,167760.86780953407
CRI,1381960.1641874984
CUB,2385071.4597782567
CUW,29610.35672712326
CYM,4312.291828811169
CYN,77355.9266396761
CYP,158613.50544902496
CZE,1981469.0983714825
DEU,14285025.705040786
DJI,395291.97063553333
DMA,17219.88258075714
DNK,1117026.0730043545
DOM,3543765.6034374777
DZA,12940367.260374099
ECU,5848753.085677533
EGY,37820071.80013425
ERI,2876308.1478739902
ESP,8375401.960456283
EST,239617.24257912833
ETH,52930538.52430299
FIN,1071442.2907640683
FJI,278919.17429680005
FLK,289.92409895890523
FRA,14630892.415137859
FRO,7174.920339167118
FSM,13815.21652007103
GAB,671068.2909293622
GBR,14040352.91000329
GEO,886013.7232509315
GGY,9693.035652160645
GHA,13009516.995181885
GIN,5958550.416154981
GMB,916568.9623627663
GNB,867712.575394392
GNQ,638561.7614283562
GRC,1783420.4160205666
GRD,25445.577884674072
GRL,6795.199029174633
GTM,6956767.776148012
GUM,41088.51120400429
GUY,268729.9631873551
HKG,1318120.5400409698
HMD,0
HND,3995238.9037717427
HRV,775884.5489627309
HTI,4615491.076712966
HUN,1818165.1391896813
IDN,83997375.89568911
IMN,17484.052696466446
IND,504497171.90769446
IOA,11.78432665928267
IOT,0
IRL,1230622.779633399
IRN,23844306.315043718
IRQ,18988604.051534887
ISL,73691.49539847785
ISR,2887700.458958175
ITA,10267205.066949759
JAM,846536.8395648003
JEY,21393.56326007843
JOR,4145165.5550380535
JPN,20709286.17226758
KAS,3326.251803355175
KAZ,5517846.687390501
KEN,23057973.436705418
KGZ,2413384.041869984
KHM,6120641.0145401275
KIR,6087.49028134346
KNA,7280.287499427795
KOR,9016602.052744716
KOS,406189.8224192858
KWT,920509.141844268
LAO,2800903.528768599
LBN,2559588.975505072
LBR,2138875.128690364
LBY,2364023.606021097
LCA,41408.98567008972
LIE,4855.642589569092
LKA,6178313.9178360775
LSO,837299.1290300637
LTU,556032.3523546824
LUX,124368.13352012634
LVA,355746.3100145827
MAC,23295.632080078125
MAF,3716.458885192871
MAR,11900701.348358108
MCO,8328.312381744385
MDA,765149.7743873596
MDG,12897449.360492337
MDV,1008.5468597412109
MEX,43563655.20453587
MHL,2018.1850931346416
MKD,459947.7176862955
MLI,10732701.772634167
MLT,67227.97186279297
MMR,18101355.851854533
MNE,148426.62174282968
MNG,1069525.0402104058
MNP,8938.64995509386
MOZ,15395044.672654761
MRT,1901688.3621074448
MSR,473.16525077819824
MUS,290095.8063964844
MWI,8771738.301993929
MYS,9447537.948614858
NAM,1024660.7395004863
NCL,40234.16189684899
NER,11944546.991362266
NFK,431.3476371765137
NGA,103278670.39611688
NIC,2493570.1742911646
NIU,293.62355852127075
NLD,3510942.550205288
NOR,1091443.4112622603
NPL,12598628.249020934
NRU,1299.333724975586
NZL,1016023.6810728727
OMN,1105776.6411412628
PAK,94358104.78005461
PAN,1302647.7134030033
PCN,19.68898344039917
PER,11398841.281660467
PHL,37054079.45301372
PLW,1217.1625491380692
PNG,3894957.764356745
POL,7354345.759445451
PRI,820213.9479908554
PRK,6339046.370812854
PRT,1754387.5060197676
PRY,2587938.808326143
PSX,2210393.54927475
PYF,46882.257455375046
QAT,394192.19270638283
ROU,3967840.802916523
RUS,30719841.30352574
RWA,5902773.387019241
SAH,17286.10819822627
SAU,9543429.693061054
SDN,19607180.200059675
SDS,5537554.3637782335
SEN,7003470.035619974
SGP,927643.2454223633
SGS,0
SHN,657.8244103491306
SLB,213972.71693614358
SLE,3429006.3088155985
SLV,2198504.4019703865
SMR,4422.710886001587
SOL,2151368.423565531
SOM,6463683.989137083
SPM,952.2363695427775
SRB,1557089.5705095702
STP,67963.16267299652
SUR,186508.99772017484
SVK,1054007.8332983088
SVN,377408.352352296
SWE,1965716.9755190902
SWZ,504625.752625227
SXM,9193.699630737305
SYC,18766.830716133118
SYR,8304879.198543797
TCA,4325.84659935534
TCD,8447705.60046133
TGO,3506647.4961254597
THA,15497880.44146391
TJK,3803258.827315374
TKM,1721029.7024331116
TLS,585845.1680964828
TON,28082.473333358765
TTO,312751.8258533478
