country,RR,RR_lwr,RR_upr
Australia,1.0018,1.0002,1.0035
Canada,1.0023,1.0013,1.0032
China,1.0014,1.0002,1.0025
Czechia,1.0018,1.0002,1.0033
Estonia,1.0023,1.0006,1.004
France,1.0019,1.0006,1.0031
Germany,1.0015,1.0005,1.0024
Greece,1.0011,0.9995,1.0028
Italy,1.0018,1.0003,1.0034
Japan,1.002,1.001,1.003
Mexico,1.0008,1,1.0015
Portugal,1.0011,0.9997,1.0026
South Africa,1.0027,1.0013,1.0042
South Korea,1.0014,1.0004,1.0025
Spain,1.0006,0.9992,1.0019
Sweden,1.002,1.0004,1.0037
Switzerland,1.0019,1.0003,1.0034
Taiwan,1.001,0.9999,1.0021
United Kingdom,1.0035,1.0024,1.0046
United States,1.0016,1.0009,1.0022
