country,parameter,health,val,valU,valL,sig
Australia,no2,asthma,0.04485981736897889,0.05472059514084862,0.03496010353647792,sig
Austria,no2,asthma,-28.103779321022614,-33.828610250201336,-22.196097069788095,nonSig
Belgium,no2,asthma,-6.972118000245736,-8.3386738709331,-5.542109955133768,sig
Canada,no2,asthma,-0.11016196349323719,-0.13437695108871453,-0.08585133912312624,sig
Chile,no2,asthma,-150.54786668230952,-181.4162824329112,-118.76897856686725,sig
China,no2,asthma,-44657.06967543838,-53182.80077678204,-35650.14123961805,sig
Croatia,no2,asthma,-40.07819951209339,-48.215360207050175,-31.671341047901794,sig
Denmark,no2,asthma,74.9775613168795,90.8005226541245,58.85681324519725,sig
Finland,no2,asthma,-32.353065887716426,-39.08927687305636,-25.456510984775562,sig
France,no2,asthma,-307.72302369828475,-368.5441684209088,-244.27201671813276,sig
Germany,no2,asthma,-717.3114193070232,-860.0721428899833,-568.7480959971856,sig
Hungary,no2,asthma,-38.59204459121577,-46.103896225374,-30.711601511120193,sig
India,no2,asthma,-31903.44646575996,-38066.80023144973,-25420.300786528576,sig
Indonesia,no2,asthma,NA,NA,NA,nonSig
Ireland,no2,asthma,-59.70714448824398,-71.8044389375631,-47.1993409645397,sig
Italy,no2,asthma,-784.85701408772,-939.1982038087692,-623.5466717933936,sig
Luxembourg,no2,asthma,NA,NA,NA,sig
Mexico,no2,asthma,-1.082850923238087,-1.320848784974714,-0.843903515724175,sig
Nepal,no2,asthma,NA,NA,NA,nonSig
Netherlands,no2,asthma,-86.35432618937324,-103.79449017616878,-68.30119646999384,sig
Norway,no2,asthma,-31.69598674974064,-38.10592589430428,-25.06403599779525,sig
Peru,no2,asthma,-137.89264717953824,-165.7354385811601,-109.06889023616247,sig
Poland,no2,asthma,-176.10154421581092,-210.7353250726327,-139.904231727583,sig
Portugal,no2,asthma,-1.565146326260674,-1.8815835299585046,-1.2377125948027583,nonSig
Serbia,no2,asthma,-125.57669049044735,-151.00518542686433,-99.28030423749425,sig
Slovakia,no2,asthma,-48.54803048807972,-58.316024630819015,-38.42299704530441,sig
Spain,no2,asthma,-477.7387153237365,-577.3385991181948,-375.8161726398662,sig
Sweden,no2,asthma,-13.534900640759101,-16.221182727316936,-10.73662607536621,sig
Switzerland,no2,asthma,-123.214880986683,-147.78892169718847,-97.66147403130992,sig
Thailand,no2,asthma,-0.6436809750614441,-0.785162075566695,-0.5016381645445976,sig
United Arab Emirates,no2,asthma,NA,NA,NA,nonSig
United Kingdom,no2,asthma,-1012.2122494386458,-1212.6636562505748,-803.239672983598,sig
United States,no2,asthma,-2.0192658510100117,-2.4631120294883004,-1.5736616692664223,sig
Australia,o3,asthma,0.00562699267595114,0.008398809327505932,0.0028275736572668728,sig
Austria,o3,asthma,80.83455245894433,107.5746532266293,45.62236039404195,sig
Belgium,o3,asthma,NA,NA,NA,nonSig
Canada,o3,asthma,-0.02237058015932225,-0.03338795791193794,-0.011242007471860826,sig
Chile,o3,asthma,20.11796321674072,28.32339875556164,10.723907245251027,sig
China,o3,asthma,11060.718778143113,13572.63895783291,6774.135833310887,sig
Croatia,o3,asthma,-4.506138011239315,-5.923328340956012,-2.5743897692055278,sig
Denmark,o3,asthma,63.570010750657936,86.22526124226907,35.20620285710473,sig
Finland,o3,asthma,-1.1744821061734,-1.5420568786209543,-0.6717694345361025,nonSig
France,o3,asthma,16.939529906970733,22.305491025532717,9.660686102457134,sig
Germany,o3,asthma,-47.47975470783865,-63.888352039290794,-26.492266363966166,nonSig
Hungary,o3,asthma,0.45790235301173254,0.6076710291067116,0.2590950397117666,nonSig
India,o3,asthma,-282.5565534206071,-392.29854783693736,-152.75052001125914,nonSig
Indonesia,o3,asthma,NA,NA,NA,nonSig
Ireland,o3,asthma,-0.9360339215515197,-1.2382395654102964,-0.5313420647735292,nonSig
Italy,o3,asthma,54.60582966615516,73.00346888926708,30.668277602394426,sig
Luxembourg,o3,asthma,NA,NA,NA,sig
Mexico,o3,asthma,0.363109839494304,0.5419222786354969,0.18248131266307355,sig
Nepal,o3,asthma,-0.02021240295487381,-0.03016652475668624,-0.010157571743875327,nonSig
Netherlands,o3,asthma,13.147142528643315,17.854174717158884,7.267900975413895,nonSig
Norway,o3,asthma,NA,NA,NA,nonSig
Peru,o3,asthma,154.19291198580956,223.12877463159901,79.94691158257976,sig
Poland,o3,asthma,0.4454651492870312,0.588277877443943,0.2533073404913182,nonSig
Portugal,o3,asthma,26.870094247014663,35.88495022384146,15.10766508846902,sig
Serbia,o3,asthma,18.474514973523327,25.05431115134688,10.227532835415936,sig
Slovakia,o3,asthma,-1.0030363315588886,-1.2909558112284856,-0.5853760816832434,nonSig
Spain,o3,asthma,67.77918261209038,90.28751880299478,38.206325225466,nonSig
