parameter,country,type,sig,val_asthma,val_death,valU_asthma,valU_death,valL_asthma,valL_death
no2,Australia,lockdown,sig,0.006337749,0.001152573,0.007730876,0.001671006,0.004939123,6.34E-04
no2,Belgium,lockdown,sig,-11.8707378,-1.406534334,-14.25736056,-2.038111669,-9.396193802,-0.77411141
no2,Canada,lockdown,nonSig,-0.002197603,-6.13E-04,-0.002680657,-8.88E-04,-0.001712639,-3.37E-04
no2,Chile,lockdown,sig,-7.6408374,-1.144344526,-9.20757025,-1.658380224,-6.027907497,-0.629738488
no2,China,lockdown,sig,-4991.602983,-427.1525231,-5962.204095,-618.8381781,-3973.05945,-235.1362847
no2,Croatia,lockdown,sig,-7.966086435,-1.545835627,-9.603446142,-2.240247816,-6.281971755,-0.850670397
no2,Czechia,lockdown,nonSig,-1.618905933,-0.281564552,-1.94686432,-0.408013687,-1.279795024,-0.154957281
no2,Denmark,lockdown,nonSig,1.039593559,0.166043606,1.258051218,0.240664758,0.816678295,0.091361359
no2,Finland,lockdown,sig,-2.874823477,-0.534684476,-3.47923633,-0.774977614,-2.258191965,-0.294195977
no2,France,lockdown,sig,-69.42909877,-11.20188146,-83.57954469,-16.23314995,-54.82964593,-6.164671014
no2,Germany,lockdown,sig,-88.44210477,-12.30910602,-106.4811115,-17.83776007,-69.83565832,-6.77397306
no2,Hungary,lockdown,sig,-6.253230135,-1.241292828,-7.485371678,-1.798464841,-4.96634234,-0.683246352
no2,India,lockdown,nonSig,-259.0062939,-52.27208295,-308.060407,-75.71846879,-207.0315643,-28.77852934
no2,Ireland,lockdown,sig,-4.981339319,-0.450310114,-6.008185087,-0.65260813,-3.926245469,-0.247800213
no2,Italy,lockdown,sig,-67.82717038,-12.05178084,-81.23931733,-17.46173854,-53.83718736,-6.633546075
no2,Lithuania,lockdown,nonSig,-0.219741778,-0.045032295,-0.264665,-0.065259521,-0.173443876,-0.024781925
no2,Macedonia,lockdown,nonSig,-0.066316015,-0.009748764,-0.079796166,-0.014127161,-0.052394618,-0.005365065
no2,Norway,lockdown,sig,-5.528342064,-0.906858776,-6.641102619,-1.314073737,-4.375096171,-0.499103201
no2,Poland,lockdown,nonSig,-7.284902065,-1.177383667,-8.759291043,-1.70613107,-5.759856093,-0.647969233
no2,Portugal,lockdown,sig,-13.31183327,-2.269534711,-16.02601113,-3.288891522,-10.51194818,-1.248978233
no2,Slovakia,lockdown,sig,-1.451323506,-0.264275207,-1.743873595,-0.382948757,-1.148280104,-0.145446389
no2,Spain,lockdown,sig,-82.5723952,-9.653713573,-99.63000216,-13.99073207,-65.05918142,-5.312257636
no2,Switzerland,lockdown,sig,-6.235053312,-0.607898193,-7.490583901,-0.880871316,-4.934004893,-0.334564613
no2,Thailand,lockdown,sig,-0.067467983,-0.010210001,-0.082297719,-0.014802497,-0.052579467,-0.005616261
no2,United Kingdom,lockdown,sig,-73.03382325,-8.881495237,-87.5870996,-12.86890141,-57.89571889,-4.888340792
no2,United States,lockdown,sig,-0.086464621,-0.021307793,-0.105470354,-0.030892122,-0.067383723,-0.011720871
