location,country,Lat,Lon,parameter,n,yBaseline,y2020,diffBase,diffBaseRel
AM11 Słupsk Kniaziewicza,PL,54.46361,17.046722,o3,2,49.775321500000004,16.3187695,-33.456552,-67.21513993636384
"Anand Vihar, Delhi - DPCC",IN,NA,NA,no2,3,149.86798333333334,43.748266666666666,-106.11971666666668,-70.8087973871226
"Anand Vihar, Delhi - DPCC",IN,NA,NA,pm25,3,204.97929666666667,74.20023333333333,-130.77906333333334,-63.801108433894036
"Bang Nak, Mueang",TH,6.427698,101.82357,o3,3,0.0456224828352,0.0424985015712,-0.0031239812640000003,-6.847460001869285
"Bang Prong, Mueang",TH,NA,NA,o3,3,0.0848979616656,0.051632920412799994,-0.033265041252800005,-39.18237917634098
BAR-TORR - Barbosa - Torre Social,CO,6.43696,-75.33042499999999,pm25,2,27.721090500000003,17.9972545,-9.723836000000002,-35.077393510186774
Beaufort,US,34.8848,-76.6203,o3,3,0.0762785209408,0.0721076757104,-0.004170845230399997,-5.467915710684799
BELAL05,BE,51.26312,4.2788897,pm25,1,14.510792,12.403226,-2.1075660000000003,-14.524127973166456
Beloit-Converse,US,42.51831,-89.06347,o3,3,0.0638695983648,0.0607595813424,-0.003110017022399998,-4.869322967457394
Bethel Smith Farm Ro,US,44.377792,-70.8547,o3,3,0.0757405059808,0.0694066207328,-0.006333885247999993,-8.362612800085618
BETN027,BE,51.133717,5.6066594,o3,2,42.114365,58.942094999999995,16.827729999999995,39.95722124742946
"Bhopal Chauraha, Dewas - MPPCB",IN,NA,NA,no2,3,28.580192,17.66021466666667,-10.919977333333332,-38.2082014471188
"Bhopal Chauraha, Dewas - MPPCB",IN,NA,NA,o3,3,60.446494,60.139558,-0.3069360000000003,-0.50778131151825
"Bhopal Chauraha, Dewas - MPPCB",IN,NA,NA,pm25,3,64.74022666666667,36.255698333333335,-28.484528333333337,-43.998190614923196
Bronx - IS74,US,40.8147,-73.8867,pm25,3,7.368901566666667,5.7064423,-1.6624592666666667,-22.5604759627517
Cailiao,TW,25.06895,121.481026,o3,3,0.060267890049599995,0.0545651781824,-0.0057027118671999985,-9.4622723020612
CAMPO DE MARTE,PE,-12.070528,-77.04317,o3,2,10.838129,56.739899,45.90177,423.5211631085033
CARABAYLLO,PE,-11.902194,-77.03364,no2,2,21.351202,7.0127685,-14.3384335,-67.15515829038571
Caroline,CA,51.95,-114.7,o3,3,0.070309508192,0.0744307145648,0.004121206372799988,5.861520694392952
Caroline,CA,51.95,-114.7,pm25,3,4.9270721,3.2879111,-1.639161,-33.26845978162162
Carrithers Middle Sc,US,38.1825,-85.5744,o3,3,0.06013825602719999,0.055860411815999995,-0.004277844211199998,-7.113349295106208
Cataño 40,US,18.428389,-66.141655,pm25,2,4.0611112,22.789855,18.7287438,461.17288785394504
Cedar Bluff,US,38.7703,-99.7636,o3,3,0.06029250596,0.0517705662544,-0.008521939705600001,-14.134326596498962
Cedar Bluff,US,38.7703,-99.7636,pm25,3,6.2621599,2.9825429,-3.2796170000000004,-52.37197791771494
"Central University, Hyderabad - TSPCB",IN,NA,NA,no2,3,61.79612266666667,38.29552,-23.500602666666666,-38.02925111245383
"Central University, Hyderabad - TSPCB",IN,NA,NA,o3,3,55.97923266666667,38.12231766666667,-17.856915,-31.899177872498885
"Central University, Hyderabad - TSPCB",IN,NA,NA,pm25,3,62.17086666666667,32.458408,-29.71245866666667,-47.791610861679054
CH0002R,CH,46.8131,6.9444804,no2,3,17.91448,11.052554333333333,-6.861925666666668,-38.30379484454289
CH0002R,CH,46.8131,6.9444804,o3,3,44.52866133333333,62.427301,17.898639666666668,40.19577308349954
CH0002R,CH,46.8131,6.9444804,pm25,3,11.965601,9.327738366666667,-2.6378626333333326,-22.045383540144226
CH0003R,CH,47.479774,8.904676,o3,3,43.06443966666667,61.428240333333335,18.363800666666663,42.64260909652764
CH0004R,CH,47.049515,6.979209,no2,3,8.597890333333334,5.367086433333333,-3.2308039000000006,-37.57670515375652
CH0004R,CH,47.049515,6.979209,o3,3,68.97581533333333,84.29843166666667,15.322616333333343,22.214476565858757
CH0005A,CH,47.402916,8.613398,no2,3,35.21047166666666,24.656435000000002,-10.554036666666661,-29.974141688814814
CH0005A,CH,47.402916,8.613398,o3,3,31.09896966666667,51.32550633333334,20.226536666666668,65.03925012135183
CH0005A,CH,47.402916,8.613398,pm25,3,16.384011,10.089746333333334,-6.294264666666667,-38.417116948143324
CH0005R,CH,47.067387,8.463334,o3,3,66.58569,83.2598,16.67411,25.041581757281477
CH0005R,CH,47.067387,8.463334,pm25,3,7.1844941,7.357429933333333,0.17293583333333284,2.407070434275015
CH0008A,CH,47.541095999999996,7.5832734,no2,3,25.460115333333334,15.230421666666667,-10.229693666666668,-40.17929036351839
CH0008A,CH,47.541095999999996,7.5832734,o3,3,40.49241,60.013438666666666,19.521028666666666,48.20910552537294
CH0008A,CH,47.541095999999996,7.5832734,pm25,3,15.378804333333333,10.929245333333334,-4.449558999999999,-28.933062047974982
CH0010A,CH,47.377617,8.530411,no2,3,36.103719,24.512127666666668,-11.59159133333333,-32.1063637054491
CH0010A,CH,47.377617,8.530411,o3,3,34.448,54.982306,20.534306,59.609573850441244
CH0010A,CH,47.377617,8.530411,pm25,3,16.647669666666665,8.5512563,-8.096413366666665,-48.63391410797855
