mean,count,Lon,Lat,day,month,year,country,city,parameter,unit
5.59,10,4.675,8.484,4,7,2014,NG,Ilorin,pm25,µg/m³
17.866667,15,4.675,8.484,3,6,2014,NG,Ilorin,pm25,µg/m³
43.1125,8,107.61,-6.888,14,9,2014,ID,Bandung,pm25,µg/m³
6.5750003,24,-58.506,-34.56,3,4,2015,AR,Buenos Aires,pm25,µg/m³
26.47,10,107.61,-6.888,22,7,2014,ID,Bandung,pm25,µg/m³
8.758333,24,-58.506,-34.56,6,12,2014,AR,Buenos Aires,pm25,µg/m³
37.992855,14,107.61,-6.888,9,5,2014,ID,Bandung,pm25,µg/m³
9.685507,138,77.196785,28.62209,16,7,2015,IN,Delhi,so2,µg/m³
23.070833,24,116.333,40.01,27,1,2015,CN,Beijing,pm25,µg/m³
34.390682,279,-0.16119212,51.511074,27,8,2015,GB,London,no2,µg/m³
7.431818,176,-0.149632,51.527252,26,8,2015,GB,London,pm25,µg/m³
10.405,20,-58.506,-34.56,12,12,2014,AR,Buenos Aires,pm25,µg/m³
16.376596,47,116.40004,39.980637,24,8,2015,CN,Beijing,pm25,µg/m³
12.741667,24,34.81,31.907,3,4,2015,IL,Rehovot,pm25,µg/m³
30.764706,17,90.398,23.728,17,9,2015,BD,Dhaka,pm25,µg/m³
41.010002,2,5.6062946,52.43595,14,9,2015,NL,Biddinghuizen,o3,µg/m³
-999,1,4.58006,51.8694,14,9,2015,NL,Ridderkerk,o3,µg/m³
12.163333,1,5.14845,51.5184,14,9,2015,NL,Biest Houtakker,pm10,µg/m³
45.601852,108,77.20096,28.641497,2,8,2015,IN,Delhi,pm25,µg/m³
10.705,60,77.22821,28.626127,2,8,2015,IN,Delhi,so2,µg/m³
22.791666,24,116.333,40.01,20,3,2015,CN,Beijing,pm25,µg/m³
21.627693,65,77.2016,28.633295,1,9,2015,IN,Delhi,o3,µg/m³
13.52,1,4.9233,51.9745,21,9,2015,NL,Cabauw,no2,µg/m³
19.720238,168,106.90193,47.913624,24,9,2015,MN,Ulaanbaatar,o3,µg/m³
44.468,25,-70.72413,-34.154205,23,9,2015,CL,Rancagua,pm10,µg/m³
2783.077,13,-70.71392,-34.162315,23,9,2015,CL,Rancagua,co,µg/m³
38.208332,216,-0.15233599,51.512825,24,9,2015,GB,London,no2,µg/m³
5.921579,19,-71.42831,-32.75425,10,8,2017,CL,Puchuncaví,so2,µg/m³
9.535,4,-71.37303,-32.778988,10,8,2017,CL,Puchuncaví,pm25,µg/m³
9.190727,55,77.026306,28.450129,11,8,2017,IN,Gurgaon,so2,µg/m³
931.7742,124,80.94182,26.84438,11,8,2017,IN,Lucknow,co,µg/m³
