countryCode,date,parameter,mean
AND,2017-09-14,o3,60.208332
AND,2017-09-15,o3,57.854168
AND,2017-09-16,o3,48.6
AND,2017-09-17,o3,52.6
AND,2017-09-18,o3,54.57143
AND,2017-09-19,o3,68.68965
AND,2017-09-21,o3,69.90323
AND,2017-09-22,o3,63.971428
AND,2017-09-23,o3,57.804348
AND,2017-09-24,o3,70.27778
AND,2017-09-25,o3,62.15217200000001
AND,2017-09-26,o3,48.666668
AND,2017-09-27,o3,50.186047
AND,2017-09-28,o3,53.945946
AND,2017-09-29,o3,59.47619
AND,2017-09-30,o3,53.97778
AND,2017-10-01,o3,29.911112000000003
AND,2017-10-02,o3,30.125
AND,2017-10-03,o3,32.51064
AND,2017-10-04,o3,48.11111
AND,2017-10-05,o3,56
AND,2017-10-06,o3,72.60976
AND,2017-10-07,o3,68.63158
AND,2017-10-08,o3,62.239132000000005
AND,2017-10-09,o3,57.139534
AND,2017-10-10,o3,59.72727199999999
AND,2017-10-11,o3,59.511112000000004
AND,2017-10-12,o3,73.318184
AND,2017-10-13,o3,68.11905
AND,2017-10-14,o3,57.875
AND,2017-10-15,o3,54.666668
AND,2017-10-16,o3,55.61111
AND,2017-10-17,o3,66.38461
AND,2017-10-18,o3,51.5
AND,2017-10-19,o3,49
AND,2017-10-20,o3,36.97872
AND,2017-10-21,o3,39.8
AND,2017-10-22,o3,57.782608
AND,2017-10-23,o3,60.755554
AND,2017-10-24,o3,50.217392
AND,2017-10-25,o3,46.875
AND,2017-10-26,o3,44.166668
AND,2017-10-27,o3,56.347828
AND,2017-10-28,o3,79.89189
AND,2017-10-29,o3,74.454544
AND,2017-10-30,o3,64.02273
AND,2017-10-31,o3,59.2
AND,2017-11-01,o3,44.68421
AND,2017-11-02,o3,44.17143
AND,2017-11-03,o3,47.91892
AND,2017-11-04,o3,39.514286
AND,2017-11-05,o3,65.108696
AND,2017-11-06,o3,66.52941
AND,2017-11-10,o3,71.47727
AND,2017-11-11,o3,68.459460000000007
AND,2017-11-12,o3,57.738094
AND,2017-11-13,o3,79.04762
AND,2017-11-14,o3,74.68421
AND,2017-11-15,o3,63
AND,2017-11-16,o3,51.07143
AND,2017-11-17,o3,49.725
AND,2017-11-18,o3,57.54286
AND,2017-11-19,o3,57.192307
AND,2017-11-20,o3,44.153847
AND,2017-11-21,o3,41.8
AND,2017-11-23,o3,48.576923
AND,2017-11-27,o3,50.545456
AND,2017-11-28,o3,42.866665
AND,2017-11-29,o3,45.8
AND,2017-12-01,o3,58.555557
AND,2017-12-02,o3,68.741936
AND,2017-12-03,o3,76.67742
AND,2017-12-04,o3,58.41379
